Source,Target,Type,Id,Label,timeset,Weight
mujtahidvideo,hrw_ar,Directed,479530,,,1
MbsMeToo,hrw_ar,Directed,453579,,,1
islamicommapart,hrw_ar,Directed,419353,,,1
Husain_Alq,hrw_ar,Directed,409745,,,1
Hudhaif9,hrw_ar,Directed,408846,,,1
fahadlghofaili,hrw_ar,Directed,386093,,,1
drkhdar,hrw_ar,Directed,379543,,,1
Dr_Utaybi,hrw_ar,Directed,378417,,,1
Alshamsi789,hrw_ar,Directed,340306,,,1
AlhawaliAa,hrw_ar,Directed,331379,,,1
abukhald100,hrw_ar,Directed,314591,,,1
islamicommapart,alaraby_ar,Directed,419541,,,1
fahadlghofaili,alaraby_ar,Directed,386290,,,1
drassagheer,alaraby_ar,Directed,378993,,,1
Dr_Utaybi,alaraby_ar,Directed,378562,,,1
AlshimaaMorsi,alaraby_ar,Directed,341332,,,1
Alsamhouri,alaraby_ar,Directed,339555,,,1
MediaCenterAA,AFPar,Directed,454018,,,1
islamicommapart,AFPar,Directed,419562,,,1
fahadlghofaili,AFPar,Directed,386317,,,1
AYS_300,AFPar,Directed,359535,,,1
alzuair,AFPar,Directed,342522,,,1
MajedAlasmariAP,Benguennak,Directed,996,,,1
rdooan,Benguennak,Directed,514036,,,1
Politic_Star,Benguennak,Directed,505397,,,1
mahwe311,Benguennak,Directed,446650,,,1
Khaledkhoja,Benguennak,Directed,429488,,,1
islamicommapart,Benguennak,Directed,419446,,,1
Hudhaif9,Benguennak,Directed,408985,,,1
GamalSultan1,Benguennak,Directed,394840,,,1
fahadlghofaili,Benguennak,Directed,386200,,,1
drassagheer,Benguennak,Directed,378968,,,1
AlshimaaMorsi,Benguennak,Directed,341245,,,1
Alshamsi789,Benguennak,Directed,340455,,,1
mu7aqiq20,DrHamami,Directed,478279,,,1
Hudhaif9,DrHamami,Directed,408936,,,1
drassagheer,DrHamami,Directed,378956,,,1
Alshamsi789,DrHamami,Directed,340399,,,1
abanaemah,DrHamami,Directed,299485,,,1
MediaCenterAA,zeintawfik,Directed,453616,,,1
Hudhaif9,zeintawfik,Directed,408427,,,1
GamalSultan1,zeintawfik,Directed,394729,,,1
drassagheer,zeintawfik,Directed,378865,,,1
AlshimaaMorsi,zeintawfik,Directed,340813,,,1
rdooan,NacirAbdessamad,Directed,513930,,,1
drassagheer,NacirAbdessamad,Directed,378901,,,1
GamalSultan1,Ahmadmuaffaq,Directed,394871,,,1
drassagheer,Ahmadmuaffaq,Directed,379003,,,1
alzuair,Ahmadmuaffaq,Directed,342518,,,1
Alshamsi789,Ahmadmuaffaq,Directed,340571,,,1
rdooan,majedabdulhadi,Directed,513958,,,1
Kh_OZ,majedabdulhadi,Directed,427096,,,1
Hudhaif9,majedabdulhadi,Directed,408749,,,1
GamalSultan1,majedabdulhadi,Directed,394781,,,1
rdooan,ayfaraho,Directed,514047,,,1
Hudhaif9,ayfaraho,Directed,409003,,,1
GamalSultan1,ayfaraho,Directed,394849,,,1
fahadlghofaili,ayfaraho,Directed,386216,,,1
drassagheer,ayfaraho,Directed,378975,,,1
